code,lat,lon,elev_m
0301,38.776,30.534,1054
0308,38.437,30.2525,1056
0309,38.5261,31.2379,1006
0405,39.5493,44.0909,1593
0403,39.7989,42.6801,1809
0401,39.7198,43.0164,1647
0404,39.5388,42.7725,1565
6801,38.3709,34.027,980
0505,40.3925,35.5215,484
0501,40.6438,35.8039,405
0508,40.6371,35.8347,951
0603,39.5583,33.1186,1305
0601,40.1608,31.917,684
0618,40.4798,32.4555,1175
0602,39.4354,32.4959,1220
0617,40.4569,32.6319,991
0605,39.9081,32.753,850
0604,38.9625,33.524,971
0702,36.737,29.9205,1095
0712,36.3022,30.148,1
0705,36.1951,29.6474,25
0706,36.6029,30.5597,9
0708,36.3748,30.292,36
0709,36.8788,30.7215,47
0710,36.7866,31.4324,4
0701,36.8944,30.6667,42
0711,36.918,31.0876,35
7501,41.1061,42.7049,1831
0801,41.1768,41.8384,201
0912,37.9739,28.746,212
0916,37.8572,28.0503,81
0905,37.86,27.265,24
0913,37.9115,28.4654,93
0902,37.8455,27.7996,65
0914,37.9133,28.3431,82
0911,37.7616,27.3921,67
0915,37.8841,28.1506,74
1005,39.3113,26.686,4
1006,40.3319,27.9966,61
1008,39.3979,28.1273,148
1009,39.578,28.6323,649
1011,40.336,27.861,174
1013,39.5895,27.0192,22
1014,40.114,27.6424,33
1003,39.655,27.862,158
1017,39.6497,27.8572,262
1016,39.3804,27.6544,284
1015,39.2395,28.1714,234
7401,41.6331,32.3331,17
7402,41.6361,32.2504,233
7201,37.873,41.1511,597
1102,39.9043,30.0529,751
1101,40.1411,29.9774,532
1210,38.7501,40.5593,1018
1206,39.2935,41.0088,1825
1201,38.8971,40.5032,1133
1209,38.966,41.0499,1383
1303,38.7998,42.7631,1678
1302,38.4744,42.1591,1794
1304,38.5031,42.281,1676
1409,40.717,32.0636,1169
1402,40.7925,32.2059,1305
1403,40.3984,30.7898,825
1405,40.9381,32.076,623
1401,40.7457,31.6073,746
1408,40.4684,31.2099,831
1407,40.5776,31.0112,550
1410,40.7711,32.037,1002
1504,37.4582,30.5876,803
1506,37.1472,29.5086,1000
1502,37.7032,30.2209,874
1505,37.3161,29.779,1153
1628,40.2734,29.0959,143
1607,40.3944,29.098,9
1616,40.4498,29.2588,148
1609,40.4254,29.1666,2
1630,40.363,29.1221,74
1610,40.0671,29.5088,304
1611,40.4292,29.7168,95
1613,39.9151,29.2317,1060
1627,40.2257,29.0752,91
1618,40.351,28.9282,34
1614,40.0347,28.3939,41
1621,40.2269,28.9756,119
1631,40.4865,29.3081,120
1619,40.4224,29.2907,132
1622,40.196,29.0527,156
1623,40.2654,29.0334,78
1624,40.177,29.0567,366
1625,40.263,29.0991,106
1626,40.2403,28.9824,162
1632,40.4105,29.1793,194
1620,40.1824,29.1296,193
1703,40.2318,27.2629,24
1708,39.8419,26.0528,195
1704,39.7739,26.3456,68
1710,40.4233,26.6672,40
1712,40.404,27.3035,6
1701,40.1415,26.3995,1
1713,40.1622,26.4117,53
1707,39.9292,27.2591,275
1803,40.8149,32.8834,1137
1805,40.9311,33.6232,959
1802,40.6083,33.6104,726
1804,40.6124,33.0822,1243
1905,40.1668,34.8575,917
1901,41.1395,34.4858,447
1904,40.546,34.9368,768
1903,40.9763,34.8002,422
2008,37.8018,28.8528,689
2013,38.0448,28.8336,621
2014,37.0741,29.3464,1297
2005,37.8245,29.6681,863
2010,37.8044,29.24,368
2002,37.8125,29.1111,332
2012,37.7781,29.0843,395
2011,37.7372,29.1006,482
2015,37.9255,28.9288,161
2009,37.9134,29.038,156
2102,38.1374,39.4644,687
2101,37.9309,40.2028,692
8106,40.7671,31.1124,143
8104,40.8611,31.1804,152
8109,40.781,31.0144,123
8103,40.7861,31.2822,248
8105,40.9028,31.152,195
8108,40.8613,31.23,250
8107,40.8386,31.1129,143
8101,40.8436,31.1489,145
8102,40.8342,31.1644,160
2201,40.7245,26.0873,15
2202,41.6705,26.5859,67
2305,38.7278,40.131,600
2306,38.9595,40.0393,1100
2309,38.7983,38.7273,746
2304,38.721,39.8629,957
2302,38.3923,39.6754,1100
2301,38.6704,39.1927,1071
2307,38.6958,39.932,880
2308,38.4506,39.3102,1248
2410,39.7665,39.4672,1243
2408,39.6019,39.0345,1062
2409,39.2808,38.4911,897
2401,39.7418,39.5115,1198
2411,39.9702,40.0209,1732
2404,39.9063,38.7706,1579
2407,39.7767,40.3911,1417
2506,39.9173,40.6813,1639
2513,39.3624,41.706,1728
2507,40.0415,42.1736,1544
2508,39.9429,41.1102,1755
2514,39.2559,42.064,2129
2501,39.9032,41.262,1908
2509,39.8733,41.2227,1930
2510,40.3483,41.8626,1655
2505,40.5501,41.9952,1336
2515,40.5452,41.9729,1275
2511,39.9748,41.6723,1657
2512,40.5622,42.3456,1861
2607,39.8175,30.146,832
2608,39.5197,31.183,985
2610,39.822,30.4216,831
2611,39.7883,30.443,806
2612,39.7713,30.4017,836
2613,39.7936,30.5397,787
2614,39.7535,30.5558,854
2615,39.7403,30.6521,815
2616,39.7063,30.6189,917
2606,39.7487,30.4958,833
2601,39.8137,30.5284,789
